pais;ano;chegadas
Alemanha;2015;224549
Alemanha;2016;221513
Alemanha;2017;203045
Alemanha;2018;209039
Alemanha;2019;206882
Alemanha;2020;61149
Alemanha;2021;29514
Alemanha;2022;120670
Alemanha;2023;158582
Alemanha;2024;182166
Angola;2015;48297
Angola;2016;26784
Angola;2017;23004
Angola;2018;17861
Angola;2019;19137
Angola;2020;3360
Angola;2021;3346
Angola;2022;11315
Angola;2023;13488
Angola;2024;13520
Argentina;2015;2079823
Argentina;2016;2294900
Argentina;2017;2622327
Argentina;2018;2498483
Argentina;2019;1954725
Argentina;2020;887805
Argentina;2021;67280
Argentina;2022;1032762
Argentina;2023;1882240
Argentina;2024;1960182
Arábia Saudita;2015;1533
Arábia Saudita;2016;1225
Arábia Saudita;2017;907
Arábia Saudita;2018;856
Arábia Saudita;2019;1378
Arábia Saudita;2020;254
Arábia Saudita;2021;157
Arábia Saudita;2022;1003
Arábia Saudita;2023;1520
Arábia Saudita;2024;2384
Austrália;2015;44896
Austrália;2016;49809
Austrália;2017;33862
Austrália;2018;42235
Austrália;2019;56158
Austrália;2020;17932
Austrália;2021;1650
Austrália;2022;25825
Austrália;2023;46935
Austrália;2024;52888
Bangladesh;2015;1531
Bangladesh;2016;670
Bangladesh;2017;539
Bangladesh;2018;1070
Bangladesh;2019;600
Bangladesh;2020;201
Bangladesh;2021;85
Bangladesh;2022;237
Bangladesh;2023;731
Bangladesh;2024;1171
Bolívia;2015;108149
Bolívia;2016;138106
Bolívia;2017;126781
Bolívia;2018;126253
Bolívia;2019;132069
Bolívia;2020;45449
Bolívia;2021;26330
Bolívia;2022;90694
Bolívia;2023;123803
Bolívia;2024;129992
Bulgária;2015;3991
Bulgária;2016;4264
Bulgária;2017;2425
Bulgária;2018;2898
Bulgária;2019;3252
Bulgária;2020;1058
Bulgária;2021;377
Bulgária;2022;1939
Bulgária;2023;3345
Bulgária;2024;4142
Bélgica;2015;34423
Bélgica;2016;35577
Bélgica;2017;28458
Bélgica;2018;31004
Bélgica;2019;28178
Bélgica;2020;7153
Bélgica;2021;4778
Bélgica;2022;16645
Bélgica;2023;21921
Bélgica;2024;26530
Cabo Verde;2015;2584
Cabo Verde;2016;2022
Cabo Verde;2017;2348
Cabo Verde;2018;1970
Cabo Verde;2019;1871
Cabo Verde;2020;423
Cabo Verde;2021;281
Cabo Verde;2022;473
Cabo Verde;2023;541
Cabo Verde;2024;568
Canadá;2015;68293
Canadá;2016;70103
Canadá;2017;48951
Canadá;2018;71160
Canadá;2019;77043
Canadá;2020;26950
Canadá;2021;8077
Canadá;2022;54252
Canadá;2023;86591
Canadá;2024;96540
Chile;2015;306331
Chile;2016;311813
Chile;2017;342143
Chile;2018;387470
Chile;2019;391689
Chile;2020;131174
Chile;2021;46673
Chile;2022;202470
Chile;2023;458576
Chile;2024;653895
China;2015;53064
China;2016;57860
China;2017;61250
